epoch,train_loss,val_loss,train_acc,val_acc
1,0.7078678470391494,0.7033897191286087,0.465,0.5
2,0.6933144010030307,0.6808962970972061,0.49,0.48
3,0.6840987205505371,0.6830653101205826,0.56,0.58
